"id","name","meaning","nickname","origin","variation","gender"
1,"Sasha","Defender/Helper of mankind","Sash/Sass","Slavic/Russian","Sacha/Sascia","girl"
2,"Mila","Miracle/Dear one","Milie","Spanish/Slavic","Milana/Milena","girl"
3,"Lillian","Lily/Purity","Ann/Lil/Lily","Latin","Liliana/Lillie","girl"
4,"Natalie","Birth of the Lord","Nat/Talie/Allie","Latin/Christian","Nathalie/Natali","girl"
5,"Grace","Thankful/Pleasing","Gracie/Gigi","Latin","Gracia/Graciella","girl"
6,"Estelle","Star","Essie/Elle","Latin","Stella/Estella","girl"
7,"Faith","Trust/Devotion","Fay/Fe","English","Faye/Vera","girl"
8,"Vera","Faith/Truth","Vivi/Rara","Slavic/Latin","Vira/Varya","girl"
9,"France","Free one","Fanny","Latin","Franc/Franz","girl"
10,"Violet","Purple","Letty/Vivie","Latin","Violetta/Viola","girl"
11,"Amelia","Industrious/Hardworking","Amy/Mia","Hebrew","Emilia/Amelie","girl"
12,"Emilia","Laborious/Eager","Emi/Mia/Lia","Latin","Milia/Mila","girl"
13,"Sylvia","Woods/Forest","Silla/Silvie","Latin","Sylwia","girl"
14,"Emma","Entire/Universe","Emy/Ima","German","Irmina/Emmeline","girl"
15,"Maya","Love/Affection","...","Japanese","Miya","girl"
16,"Lucy","Light bringer","Lu","Latin","Lucianna","girl"
